Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
40, 448, 1, 1, 16, 0.181489, 0.138297, N/A, 0.000499718, 0.000761365, 0.24371, 0.00260362, 2, 2, 1, 4, 1, 1, 64.7526, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 8192, 1, 1, 64, 0.296114, 0.265297, N/A, 0.00525859, 0.00643241, 3.91289, 0.0426968, 2, 2, 4, 8, 1, 1, 72.2025, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 102400, 1, 1, 64, 0.754595, 0.963513, N/A, 0.0320811, 0.0220674, 40.3031, 0.506807, 2, 4, 16, 32, 1, 1, 76.0352, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 448, 1, 1, 16, 0.181489, 0.138297, N/A, 0.000499718, 0.000761365, 0.24371, 0.00260362, 2, 2, 1, 4, 1, 1, 64.7526, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 8192, 1, 1, 64, 0.296114, 0.265297, N/A, 0.00525859, 0.00643241, 3.91289, 0.0426968, 2, 2, 4, 8, 1, 1, 72.2025, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 102400, 1, 1, 64, 0.754595, 0.963513, N/A, 0.0320811, 0.0220674, 40.3031, 0.506807, 2, 4, 16, 32, 1, 1, 76.0352, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 448, 1, 1, 16, 0.181489, 0.138297, N/A, 0.000499718, 0.000761365, 0.24371, 0.00260362, 2, 2, 1, 4, 1, 1, 64.7526, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 8192, 2, 1, 64, 0.264211, 0.225079, N/A, 0.00624361, 0.00679043, 2.04647, 0.0607978, 2, 2, 4, 8, 1, 1, 50.706, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 448, 1, 1, 16, 0.181489, 0.138297, N/A, 0.000499718, 0.000761365, 0.24371, 0.00260362, 2, 2, 1, 4, 1, 1, 64.7526, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 8192, 2, 1, 64, 0.264211, 0.225079, N/A, 0.00624361, 0.00679043, 2.04647, 0.0607978, 2, 2, 4, 8, 1, 1, 50.706, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 102400, 32, 1, 64, 0.677944, 0.216302, N/A, 0.0369077, 0.0373174, 2.42353, 0.774168, 2, 2, 4, 8, 1, 1, 49.7762, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 448, 1, 1, 16, 0.181489, 0.138297, N/A, 0.000499718, 0.000761365, 0.24371, 0.00260362, 2, 2, 1, 4, 1, 1, 64.7526, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 8192, 2, 1, 64, 0.264211, 0.225079, N/A, 0.00624361, 0.00679043, 2.04647, 0.0607978, 2, 2, 4, 8, 1, 1, 50.706, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 102400, 16, 1, 64, 0.664438, 0.24737, N/A, 0.0345406, 0.0354401, 3.82583, 0.657405, 2, 2, 4, 8, 1, 1, 58.6171, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 448, 1, 1, 16, 0.181489, 0.138297, N/A, 0.000499718, 0.000761365, 0.24371, 0.00260362, 2, 2, 1, 4, 1, 1, 64.7526, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 8192, 2, 1, 64, 0.264211, 0.225079, N/A, 0.00624361, 0.00679043, 2.04647, 0.0607978, 2, 2, 4, 8, 1, 1, 50.706, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 102400, 16, 1, 64, 0.664438, 0.24737, N/A, 0.0345406, 0.0354401, 3.82583, 0.657405, 2, 2, 4, 8, 1, 1, 58.6171, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 448, 1, 1, 16, 0.181489, 0.138297, N/A, 0.000499718, 0.000761365, 0.24371, 0.00260362, 2, 2, 1, 4, 1, 1, 64.7526, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 8192, 2, 1, 64, 0.264211, 0.225079, N/A, 0.00624361, 0.00679043, 2.04647, 0.0607978, 2, 2, 4, 8, 1, 1, 50.706, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 102400, 16, 1, 64, 0.664438, 0.24737, N/A, 0.0345406, 0.0354401, 3.82583, 0.657405, 2, 2, 4, 8, 1, 1, 58.6171, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 448, 1, 1, 16, 0.181489, 0.138297, N/A, 0.000499718, 0.000761365, 0.24371, 0.00260362, 2, 2, 1, 4, 1, 1, 64.7526, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 8192, 2, 1, 64, 0.264211, 0.225079, N/A, 0.00624361, 0.00679043, 2.04647, 0.0607978, 2, 2, 4, 8, 1, 1, 50.706, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 102400, 16, 1, 64, 0.664438, 0.24737, N/A, 0.0345406, 0.0354401, 3.82583, 0.657405, 2, 2, 4, 8, 1, 1, 58.6171, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 448, 1, 1, 16, 0.181489, 0.138297, N/A, 0.000499718, 0.000761365, 0.24371, 0.00260362, 2, 2, 1, 4, 1, 1, 64.7526, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 8192, 2, 1, 64, 0.264211, 0.225079, N/A, 0.00624361, 0.00679043, 2.04647, 0.0607978, 2, 2, 4, 8, 1, 1, 50.706, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 102400, 16, 1, 64, 0.664438, 0.24737, N/A, 0.0345406, 0.0354401, 3.82583, 0.657405, 2, 2, 4, 8, 1, 1, 58.6171, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 448, 1, 1, 16, 0.181489, 0.138297, N/A, 0.000499718, 0.000761365, 0.24371, 0.00260362, 2, 2, 1, 4, 1, 1, 64.7526, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 8192, 2, 1, 64, 0.264211, 0.225079, N/A, 0.00624361, 0.00679043, 2.04647, 0.0607978, 2, 2, 4, 8, 1, 1, 50.706, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 102400, 16, 1, 64, 0.664438, 0.24737, N/A, 0.0345406, 0.0354401, 3.82583, 0.657405, 2, 2, 4, 8, 1, 1, 58.6171, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
